what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329946648359
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329946651453
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1329946777582
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329946826849
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329947054439
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329947105379
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329947157491
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1329947158023
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329947160164
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1329947167758
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1329947178977
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329947207604
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329947212416
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329947214838
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329948152840
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329948154934
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330002512421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330002518639
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330003076571
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330003099743
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330003100915
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330003101915
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330003101993
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330003103993
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330003104634
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1330003109978
stopped,bundle,com.instantiations.designer.core.databinding,7.6.0.r35x201008040432,"com.instantiations.designer.core.databinding",1330003110087
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,15.0.0.v201110251216-213216,"overlay.com.android.ide.eclipse.adt.overlay",1330003110181
stopped,bundle,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.adt",1330003110181
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1330003110181
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1330003110243
stopped,bundle,net.rim.ejde.designer,1.0.0.r35x201008041452,"net.rim.ejde.designer",1330003110415
stopped,bundle,com.instantiations.designer.core.apiImpl,7.6.0.r35x201008040432,"com.instantiations.designer.core.apiImpl",1330003110431
stopped,bundle,com.instantiations.designer.os.win32,7.6.0.r35x201008040432,"com.instantiations.designer.os.win32",1330003110446
stopped,bundle,com.instantiations.designer.core,7.6.0.r35x201008040432,"com.instantiations.designer.core",1330003110446
stopped,bundle,com.instantiations.eclipse.ui,7.6.0.r35x201007290412,"com.instantiations.eclipse.ui",1330003110446
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1330003110478
stopped,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1330003110571
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20100209-maintenance,"org.eclipse.pde.ds.ui",1330003110587
