what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1358445377312
started,bundle,com.android.ide.eclipse.traceview,15.0.0.v201110251216-213216,"com.android.ide.eclipse.traceview",1358445377609
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1358445378156
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1358445378171
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1358445378203
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1358445378421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358445444078
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358445462578
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358445463765
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358445465546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358445465953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358445468656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358445469265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358445474156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358445474390
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358445474390
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358445474515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358445601109
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358445609546
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1358445610109
stopped,bundle,com.instantiations.designer.core.databinding,7.6.0.r35x201008040432,"com.instantiations.designer.core.databinding",1358445610109
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,15.0.0.v201110251216-213216,"overlay.com.android.ide.eclipse.adt.overlay",1358445610109
stopped,bundle,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.adt",1358445610109
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1358445610109
